"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Efemp2",4.88259652878586,9.6908082970381,7.72514876555996,1.63145480163551e-06,0.00010512109712425,5.46290452697738
"Serf1",3.91456374795469,7.87350861436166,7.7189721005221,1.64697989478245e-06,0.000105129651227702,5.45405310214518
"Osr1",4.88141462851588,6.91168762359367,7.71151352214106,1.66593483464937e-06,0.00010535495296903,5.44335718018467
"Prrx1",5.60136790659646,9.82958449357879,7.69917451782976,1.69779909608976e-06,0.000105793343490386,5.42564458591151
"Rbfox2",4.18102488696849,8.06078836255518,7.69686051933269,1.70384594201207e-06,0.000105793343490386,5.4223203594412
"Fkbp14",4.67135532957646,9.33483972371839,7.67786938186954,1.75433844524169e-06,0.000107901943311107,5.39500847334688
"Pdzk1ip1",-5.18006812591626,10.5587892292414,-7.67006532530878,1.77554223206705e-06,0.000107901943311107,5.38376977713266
"Bicc1",4.45241000206486,10.7581116533094,7.66654307734789,1.78520052623062e-06,0.000107901943311107,5.37869441756451
"Gm22",4.89585681351342,7.63676230749707,7.65054007762459,1.82978425674533e-06,0.000109626548013777,5.35561198601346
"Kdelr3",5.36316303457359,9.87263070655026,7.62404245809621,1.9062036068915e-06,0.000113211918565817,5.31730926183059
"AW551984",9.21839108577132,6.60558821951195,7.61521908324075,1.9323905169779e-06,0.000113777820956544,5.30453192515404
"Cav2",3.80075875960766,10.7296090732882,7.58417127390261,2.02759091633156e-06,0.000118362785970466,5.25947932041637
"Arsi",5.59804115586042,7.72003131962967,7.57164427863356,2.06738915882593e-06,0.000119663287752382,5.24126133431175
"Gjc1",5.52896043029297,8.37856834618034,7.56465536426831,2.08994969352814e-06,0.000119952574847035,5.2310872587488
"Mrvi1",-3.77464473296409,7.77615674500647,-7.54824851037248,2.14393663332469e-06,0.000122025726713397,5.20717459056253
"Lpar4",5.56006520145408,7.06316056216999,7.53160398567214,2.20020851692519e-06,0.000124193588186769,5.1828746732191
"Rcn3",4.10139949853733,10.8447563402695,7.50028906577153,2.31033545006877e-06,0.000128567883003515,5.13704526015266
"Itgbl1",6.85107436339775,9.82932549737208,7.49890043840797,2.31535133373827e-06,0.000128567883003515,5.13500962212711
"Wisp1",4.57260792288432,10.0289018258284,7.48112815858689,2.38056898005341e-06,0.00012995051744407,5.10893122965225
"Aurkb",-4.01529033972581,9.98239631197115,-7.48011754113948,2.3843352089838e-06,0.00012995051744407,5.10744687135032
"Nup210",-3.7561332877982,10.2046975389671,-7.47495698992523,2.40366487511474e-06,0.00012995051744407,5.09986486500429
"Il1rl1",6.71540963798152,6.74277357833598,7.4715923075698,2.41635662011668e-06,0.00012995051744407,5.09491925230072
"Mpl",-4.1081260751005,8.80913495849367,-7.46406677612115,2.444999329673e-06,0.000130052520360669,5.08385165620711
"Cdca8",-3.64143107592742,9.84993063132315,-7.45439493716417,2.48233687603433e-06,0.000130052520360669,5.06961512363616
"Ehd2",3.95312418336215,9.38329835683805,7.44486506107766,2.51971386753979e-06,0.000130052520360669,5.05557388262609
"Col2a1",8.37885860425864,13.0790536699044,7.44455262730377,2.52094924353974e-06,0.000130052520360669,5.05511331543206
"Col5a2",4.45944401855552,13.8347159383284,7.44209999071206,2.53066924446996e-06,0.000130052520360669,5.0514973095503
"Atp2a3",-3.74909057706744,10.2033271821973,-7.44163877205481,2.53250149457818e-06,0.000130052520360669,5.05081721865088
"Ubtd2",5.04242913376723,8.60993920193976,7.41160608108332,2.65486813444551e-06,0.000135319025061663,5.00646393251573
"Capn3",-4.00886326567275,7.90774177924724,-7.40506345909116,2.68234202272973e-06,0.000135706637149956,4.99678365062103
"Col11a2",6.0346494108359,10.0235505335499,7.3700108538164,2.83471973716394e-06,0.000141855468714012,4.94481145476168
"Gnaz",-3.91978516919533,8.15934969293156,-7.3676249878541,2.84541716161342e-06,0.000141855468714012,4.94126724771896
"Ndrg4",5.30569835197388,10.5403357833904,7.35745047543537,2.89151537774423e-06,0.000142760364771187,4.92614339522005
"Ephb3",3.77744233164268,8.11124587071129,7.35442546896499,2.90537199168302e-06,0.000142760364771187,4.92164388903406
"Spc25",-3.0377629628897,10.4311980717992,-7.34771623972398,2.93635482393526e-06,0.000143025731777587,4.91165942412479
"Pls1",-3.62558087852582,8.41030963291454,-7.34421650204353,2.95265419921518e-06,0.000143025731777587,4.90644853731805
"Ighg",-12.3843555739937,10.7775705277763,-7.32429108176019,3.04728504840777e-06,0.000145903951444311,4.87674573367687
"Fzd2",4.06845701005695,7.59463688575416,7.32273730521655,3.05479722643287e-06,0.000145903951444311,4.87442700820055
"Ufsp1",-3.9758138745363,8.64675890306882,-7.30070092679695,3.16346162554476e-06,0.000149165454266795,4.84150260361986
"Cenpp",-3.51153415274366,8.63395455626238,-7.29308754746135,3.20194314442049e-06,0.000149165454266795,4.83011048730785
"Trps1",4.1463498784517,9.59895774427923,7.28760219225374,3.22997367105374e-06,0.000149165454266795,4.82189717384953
"Col14a1",5.75047519603537,10.8705646243954,7.28511632250534,3.24276151647801e-06,0.000149165454266795,4.81817354453291
"Unc119",-3.40690588505883,9.74558141514535,-7.2845877146558,3.2454876484572e-06,0.000149165454266795,4.81738161300033
"Acan",5.32444323760987,11.4957673358368,7.27953192619884,3.27168344262408e-06,0.000149165454266795,4.80980517455274
"Gas1",4.2987885668249,12.9072467749151,7.2745658802549,3.29763085589879e-06,0.000149165454266795,4.80235946387897
"Treml4",-3.89055174048434,8.49521896986655,-7.27453337524393,3.29780140472709e-06,0.000149165454266795,4.80231071607485
"Gxylt2",4.18326785699297,8.1504978223464,7.26440310848738,3.35140807620807e-06,0.000150592876055928,4.78711056665619
"Pycr1",4.64318299384555,8.25845979889034,7.25756527553207,3.38810963685053e-06,0.000150955441030718,4.77684184516186
"Ccnf",-3.85154932231674,8.79758714318926,-7.25468778471375,3.4036805151875e-06,0.000150955441030718,4.77251845788554
"Robo1",6.80753417583963,8.27933791340558,7.24759782481373,3.44236826622453e-06,0.000151686291989119,4.76186055531567
"Eva1b",3.76325991140934,9.64278723313486,7.24326946689256,3.46621392776881e-06,0.000151757955940134,4.75535026230009
"Haus4",-3.56146740678759,9.19289191876048,-7.22974164230476,3.54186747696705e-06,0.000154082515080796,4.73498475466695
"Dnajb13",-3.86616111946324,6.49434304055467,-7.21717165420101,3.61372173197785e-06,0.000154131000487257,4.71603639184429
"Ipcef1",-3.15960780888962,9.45542202407808,-7.21455678464746,3.6288608926528e-06,0.000154131000487257,4.71209165473501
"Abi3bp",5.13425035200705,10.8156491530901,7.20578108433732,3.68015846911144e-06,0.000154131000487257,4.69884524422883
"Lox",6.20312981160285,11.5057487613402,7.20481443616158,3.68585536837138e-06,0.000154131000487257,4.69738543118079
"Vwf",-3.49741441615194,10.2208080354332,-7.20371947320256,3.69231968880999e-06,0.000154131000487257,4.69573166856318
"Matn2",6.24472360460911,8.49175975953494,7.20320775020802,3.69534482875193e-06,0.000154131000487257,4.69495873227879
"Ache",-4.00426346510955,7.96172016150593,-7.2022608698387,3.70094935284191e-06,0.000154131000487257,4.6935284041938
"Rab34",4.10469469008551,9.37491048550575,7.19098902620383,3.76835743364026e-06,0.000155987159222806,4.67649106428204
"Gja1",3.76424061766742,12.2421054447099,7.17181444510477,3.88600825190757e-06,0.000159732517025283,4.64746448416823
"Prkcdbp",4.34344045280775,8.82714605938921,7.16756429000061,3.91260534682774e-06,0.000159732517025283,4.64102302011896
"Aurka",-3.68657840201913,10.0471687387725,-7.16495973372678,3.92899895464825e-06,0.000159732517025283,4.63707424235794
"Sh3pxd2b",3.89016330348025,9.69820962074532,7.15417963751708,3.99762298541411e-06,0.000161560739588038,4.62071953669263
"Olfm4",-5.02639633993487,10.4617345762317,-7.12710200203103,4.17561088032471e-06,0.00016716914956802,4.57956157908295
"Sertad4",5.20082913205482,9.66760997212287,7.12417038054329,4.19537491126061e-06,0.00016716914956802,4.57509882805176
"Igdcc4",4.80899498999187,8.673255960736,7.12203639279905,4.20982338590037e-06,0.00016716914956802,4.57184947689119
"Fn3k",-4.86259816150302,9.02170157448364,-7.11375485069033,4.26639203541333e-06,0.000168436171109093,4.55923288650558
"Prrx2",5.06359553905028,7.77453864868929,7.09838372244237,4.37351563862561e-06,0.00017120419004436,4.53578791730341
"Clec11a",3.87983477596915,10.4759422195976,7.09652814574724,4.38663737302533e-06,0.00017120419004436,4.53295524511491
"Sec16b",3.9177414479183,7.9313496149608,7.07160581859967,4.56694202838173e-06,0.000175685999411967,4.49485863791466
"Racgap1",-3.67920293622818,9.50066466761607,-7.07136664619447,4.56870961718913e-06,0.000175685999411967,4.49449257683077
"Atp8b2",3.42859300291952,10.3941863211304,7.0700248368731,4.57863951615374e-06,0.000175685999411967,4.4924387325359
"Col1a1",4.72263754986508,12.955757398036,7.06365516084791,4.62608789472399e-06,0.000176514973860139,4.48268522206177
"Lat",-3.42266476965247,8.95143938847509,-7.04226650201205,4.78923103074132e-06,0.000181649624783264,4.44988870999887
"E230032D23Rik",-3.53966660982497,6.7226831874412,-7.03910573252352,4.81384803598402e-06,0.000181649624783264,4.44503618759723
"Mir22hg",3.56983906871839,10.6060029370285,7.02861864531563,4.89648138251186e-06,0.000182483930127771,4.42892511486483
"Zfp354c",5.09911513422554,8.80635507634742,7.02597012450761,4.91758532734541e-06,0.000182483930127771,4.42485359432099
"Pdgfrl",5.83558785958861,8.72474661131486,7.02562460634835,4.92034552445555e-06,0.000182483930127771,4.42432235677649
"Slc6a13",-4.12889618383892,7.58940130400102,-7.02281762354561,4.94282973259702e-06,0.000182483930127771,4.42000591692468
"C1qtnf2",5.77175617359314,8.32927076287759,7.00430366329873,5.09385866303623e-06,0.000186519459785199,4.3915058805001
"Gnb4",3.31460436349138,8.03389712696464,7.00139699988119,5.11800688452858e-06,0.000186519459785199,4.38702665640634
"Parpbp",-3.83948192137557,6.93374129664353,-6.99485695459494,5.17278162427011e-06,0.000186519459785199,4.37694359414697
"Ifi47",-3.06774629372489,10.6073894868949,-6.99333620677172,5.18560635527237e-06,0.000186519459785199,4.37459805537236
"Serpina1c",-9.52014703582221,7.3722499001555,-6.99072111966566,5.20773800864099e-06,0.000186519459785199,4.3705638250398
"2810037O22Rik",-3.35963734812265,7.97840658000176,-6.98479339451134,5.25827293168713e-06,0.000186519459785199,4.36141539367638
"Arhgap9",-3.65957899534589,8.95461905693955,-6.98415022821502,5.26378693709442e-06,0.000186519459785199,4.36042245282514
"Cdca5",-3.76107676389408,10.5226254280981,-6.9833555295104,5.27060845366668e-06,0.000186519459785199,4.35919548387799
"Ube2t",-3.52174691489926,8.61528617740768,-6.97208893797116,5.3683238116341e-06,0.00018899820429619,4.3417901113538
"Gprc5b",3.86042903623329,7.39905202602651,6.95348590951592,5.53385574606285e-06,0.000193826844849278,4.3130083635272
"Nectin3",5.12176280396552,5.28577081747777,6.94605120975519,5.6015022825459e-06,0.000195195207090758,4.3014909034392
"Acap1",-3.57050780468516,9.89842552431648,-6.93324419263023,5.72007474688537e-06,0.00019831528183364,4.28163104536988
"Reep3",3.4187274743447,11.1019022106586,6.92012130435381,5.84430948293936e-06,0.000200638398263969,4.2612552655946
"P2rx1",-3.35216711993216,7.66994405733355,-6.91941708936444,5.85105590710844e-06,0.000200638398263969,4.26016109079449
"Armcx2",3.55358665851799,9.03997167758644,6.9169028459798,5.87520931958914e-06,0.000200638398263969,4.25625396143883
"Gins1",-3.27710841202105,9.64230382222206,-6.9059957959411,5.98120809897228e-06,0.000203242046348163,4.23929319122078
"Tbc1d10c",-3.07816030079256,9.24841262335705,-6.89816845450288,6.0585136598757e-06,0.000204849744044312,4.22711019697316
"Mcc",3.70497145152348,7.53255517643821,6.88828542750891,6.15762339637561e-06,0.000206267970862463,4.21171415558538
"Adamtsl4",4.09093202066779,8.20598959645238,6.88595771032712,6.18121316551328e-06,0.000206267970862463,4.2080857928413
"Fam149a",4.62625614782545,5.62841865072873,6.88260272331209,6.21538067140551e-06,0.000206267970862463,4.20285469373742
"Il1a",-3.62140032343706,6.1920987574694,-6.8820274260464,6.22125944328953e-06,0.000206267970862463,4.20195751594896
"Plod1",4.001645764421,9.28795208836016,6.87317402027299,6.3124694384702e-06,0.000207150277352181,4.18814418917082
"Haus5",-3.69631416238017,6.93361301585763,-6.87022888829911,6.34312125115853e-06,0.000207150277352181,4.18354644301538
"Ext1",3.94023707224007,9.91154720319253,6.86978227266592,6.34778308491164e-06,0.000207150277352181,4.18284909966335
"Cacnb3",4.17149514894279,6.99439641662337,6.86773597908557,6.36918861551362e-06,0.000207150277352181,4.17965363529661
"Fscn1",7.9540462587373,9.96298237726082,6.86086451465625,6.44162472942104e-06,0.00020811909783796,4.16891853893214
"Padi2",-3.44988572422681,8.16673527690182,-6.85630971170479,6.49011582595182e-06,0.00020811909783796,4.16179869665677
"Treml1",-3.66276148011789,9.97907456820309,-6.85628400333357,6.49039060607399e-06,0.00020811909783796,4.1617585015504
