"","D01.CEL","D02.CEL","D03.CEL","D04.CEL","D11.CEL","D12.CEL","D31.CEL","D32.CEL","D33.CEL","D71.CEL","D72.CEL","D73.CEL","D74.CEL","D121.CELL","D122.CEL","D123.CEL","D181.CEL","D182.CEL","D183.CEL","Symbol"
"100088_at",4.5090048085161,6.60650159571352,5.97384516254213,5.76479890784439,5.62435034887082,6.27459040789471,4.59132032674442,5.90644655418288,6.01661613580829,4.60861430031724,6.01470358930643,6.31816493650244,5.86503405132281,5.55122841964548,6.26745699526402,6.10715496747182,5.19850847413293,5.66136113898158,5.86219487421544,"Ppp1cb"
"100089_at",8.11667786341847,9.499084981322,9.16936758401975,8.7282436293827,8.85636112928883,9.49873441262669,8.14809743477263,9.04996769393952,9.03783756491415,8.52153097686299,9.41707098239493,9.0940711614856,9.08931993163418,9.47895350904846,9.37539888715247,9.24286911130042,9.28397602275946,9.28688132076527,9.08417969756672,"Ppic"
"100091_at",9.65316889780538,9.38850192008326,9.64354699735742,9.5051652509986,9.43174308060715,9.38234165198982,9.52917609934163,9.53176772481156,8.60605140601671,9.53901277037858,9.29678794448909,8.54494538409242,9.36791208493579,9.40684075122606,8.60038112162778,8.92342065750666,9.19503209512357,9.32304344795405,9.39751560684344,"Slc35b1"
"100093_at",7.71822380561754,7.83727487567457,7.44162362005715,7.41230093214025,7.72875675417863,7.70084753946354,7.89390455779199,7.68115945114546,7.45607193857311,7.9212307633343,7.82824024565643,7.61024884889649,7.46302650455111,8.09910957122666,7.69815607563937,7.54627273478501,7.68262587950648,7.68586457143047,7.77715802589559,"Cdk16"
"100094_at",6.73221027897677,6.72030372425827,6.38200098233255,6.41571007076133,6.55115484463827,6.53099081568218,6.88093781686217,6.3695662796935,6.36150071649639,6.74787131603491,6.45269385865776,6.38464491162485,5.7885733360452,6.48055446180857,6.63769534194812,5.99506572522491,6.40448073824136,6.52877924464304,6.34022280496322,"Supt5"
"100095_at",8.33031790307664,8.63454160675495,8.26526268621278,8.25612491821859,8.28167978870128,8.51004006685474,8.06823703440685,8.67662889118268,7.93058080054317,7.73005359224553,8.06385487629082,7.57380876719324,7.41265906979068,8.38220381815589,8.10095162675612,7.72209943795517,8.17226970759145,8.27287280061465,7.88085513776858,"Scarb1"
"100099_at",8.9716550934592,9.1063407349454,9.14996875721477,9.11784669747899,8.80671272445995,9.02717933161442,8.55583537267492,8.77652207131874,8.36843554826849,8.49644738855667,8.66417894837069,8.19991834887449,8.08268656659624,8.76761784028605,8.53352172967054,8.55175049177553,8.68849923517222,8.65235487681372,8.44114192536497,"Smpd1"
"100100_at",3.19415277322705,3.33966620032496,3.15556705675599,3.08773618979662,2.85748683123889,3.07956028512768,3.09781871524818,3.26975927789409,3.30386069674456,2.80644884353518,3.18290072986407,3.46864807583411,3.11737941009899,3.05709256115904,3.08454779087244,3.30705242176302,3.53599598421961,3.39047703588939,3.24821023496293,"Serpinb1a"
"100101_at",5.74740784550396,5.63805188704103,6.13314152839821,5.97872547475365,5.84067159674542,5.7351596360302,5.82284246068228,5.84609913607889,5.9797049692368,5.76270210575904,5.73634062988404,5.78939270160059,5.73609421824349,5.751186038993,5.77206778933611,5.74257146671079,5.57680493075426,5.76980134151088,5.82172511806887,"Snrpa"
"100103_f_at",8.02860051569869,7.58802285087886,8.16004748146701,8.51089692522936,8.0955744548594,7.82515561858,7.95848379490971,7.96973356057404,8.31549627627285,7.84898951507046,7.98799766646597,8.21603874305362,8.56383282358933,8.00075284099584,8.24851501904649,8.06112933312929,7.99096715923889,8.04434027741326,8.38638290609413,"2210010C04Rik"
